channelID,channelName
UCeo3JwE3HezUWFdVcehQk9Q,阿滴英文
UCrLO-yoAu4ZTzRSdmWqS53A,碰碰狐 (兒童兒歌・故事)
UCttafJi4SCirZhlxsxISbyA,寶寶巴士 - 兒歌童謠 - 卡通動畫
UCHm9SiOLG8UoBT8STWY5mVA,Jay Lee Painting
UCHfY_EOzB1i57hYLSw_rYMg,理科太太 Li Ke Tai Tai
UCBgdVDkSsiPBVop4-Ms0ihQ,Stopkiddinstudio
UCRNsHFT7BFoAPBcuAa5sgEQ,Taiwan Bar
UCiWRSesvSYmY7YOyz0tv_zQ,YOYOTV
UCzuH3UncFcXOKrz4XOYARTw,國家地理 National Geographic
UCdEpz2A4DzV__4C1x2quKLw,PAPAYA 電腦教室
UCTPPmVw8pCUmw9tfY_MaKNg,三個字SunGuts
UCDHFwAm3jNzA1jyL8_Fb25w,C's English Corner 英文角落
UCu83WcYyswQzIUk1D3STNLw,千禧藝術團
UCjGBF7OQXzgJFDwrbzxtDrQ,蒟蒻講幹話
UCO5f5FVrCZ7cxm0q4m-B90A,Dr. Ivan 6
UCo-2gR7lMv3oxvzSuJafPJQ,News Direct
UCXJJ9PYUbJ2GzZdb1lzTo8Q,哥倫布 Little Columbus
UC45i13dEfEVac2IEJT_Nr5Q,柴鼠兄弟 ZRBros
UCJhnlRY-oKpanPGSvL8Ml8Q,Learn Chinese with ChineseClass101.com
UCqQ16nrVsO5Np9L24EnNstg,空中英語教室 Studio Classroom
UCtmb2nQhbT2rxxpmbdRjvVg,國家地理雜誌 National Geographic Magazine
UCnjadOj5qlKXsTAXPSwc67A,巧虎TV（台灣巧連智官方頻道）
UC99JxfmC-2boyEif0XvF3rA,TIENG TRUNG BOI - TTB CHANNEL
UCUn77_F5A65HViL9OEvIpLw,蒼藍鴿的醫學天地
UCI-aslpo4ZZpatYyGs53DLw,TEDxTaipei
UCrgGTNXePnkyKqmofuVPX6w,大火龍
UCvoKxE0mlbcnrwyemuPgEog,Is me
UC7SgFJmDGMXobLvjjiWMNOg,MedPartner美的好朋友
UCWXwLgVslvBpzbGBz4lj4-Q,超直白Chaozhibai
UCWv5gTeR3eEukPgMNBmWJvw,Chen Lily
UCZ5Wn4ss81cVKSk74Duv2BA,何必日語
UCrm095p7ZHRS1njmQ1wkgCg,楊世光在金錢爆
UCLRCP-juSDl3icIfyw0XsWQ,身體智慧-脊椎健康教育的領導品牌
UCo3Z0bh4OnwPL5z4rMwNqbg,簡單歌唱 Singple.
UCMllvWx37IY4m6LEgPFAzjA,設計家
UCeLNrHzggGEZnmgCZXDZ_4w,Matt's 電玩之夜 Game Night
UCtaf9TkknjodxYJoo-Hk-bg,王宏哲教養育兒寶典
UCXwdLULL0swRjq8WDlxzIRg,學生Why
UCbB4kIlheC9EUjyQ_zW-1ZQ,NTDHealth
UCgx3BZdsZi_BlT-Ub6R58eg,吳若權幸福書房
UCywBTF8MXwyQU21F1vHMnfw,啟點文化
UCceGk_IAmSygU-RYUmC_EOw,【CMoney理財寶】官方頻道
UCQexNwejVhh_eUbgaY-X3DQ,洋蔥英文俱樂部Teresa
UCiQ4DB-7pv-fZgRoLO6sjsw,講日文的台灣女生 Tiffany
UC4eanDpbqbsendI4iHR830g,amitabhaamituofo
UC8hW1gP0E4MlVUHgOcO6Q9w,Sally Q
UCOSmkVK2xsihzKXQgiXPS4w,高雄歷史哥
UCPA-gG3YbDdZEM00wKLU8Eg,原始點YuanShiDian
UCHev5cyXEi7nnqK02SEdA0Q,光盐传媒
UCDqWakN_owifqIBqyNjg6kg,出口日語
UC6CN8cZqw1RkUkBHe9NZzvg,PlayIN
UCEdMQ2Jt3kT-OQdpxGLpJ0g,巴哈姆特活動組
UCBDPzPvkdes1gyJ4xS0yBCA,可樂農莊ColaFarm
UCABkMzVhjXzYrEi1c0b-A0g,田鎬 TAM
UCKIIpRJeRL0Eekg_nb6NhbQ,FashionGuide
UCooXw0dg-tfsEPQDrHhA60w,心靈列車
UCWEbr-dBJuI8VmyOXNFe-Pw,福爾思庭
UCu6d3eKvPkmtDZKCoNT77kw,SET Live三立電視直播頻道
